Name;Vessel Sanction Indicators;IMO;Flag;LLI Vessel Type;Vessel Type and Size;Built;Status;Beneficial Owner;Beneficial Owner Country/Region;Beneficial Owner Sanction Indicators;Beneficial Owner - Shareholders & UBO Sanctions;Commercial Operator;Commercial Operator Country/Region;Commercial Operator Sanction Indicators;Commercial Operator - Shareholders & UBO Sanctions;Registered Owner;Registered Owner Country/Region;Registered Owner Sanction Indicators;Registered Owner - Shareholders & UBO Sanctions;Technical Manager;Technical Manager Country/Region;Technical Manager Sanction Indicators;Technical Manager - Shareholders & UBO Sanctions;ISM Manager;ISM Manager Country/Region;ISM Manager Sanction Indicators;ISM Manager - Shareholders & UBO Sanctions;Third Party Operator;Third Party Operator Country/Region;Third Party Operator Sanction Indicators;Third Party Operator - Shareholders & UBO Sanctions;Length Overall (m);Depth (m);Maximum Draught (m);Freeboard (m);
Maroulio S;;9493511;Liberia;bulk carrier;Panamax, 60'-100'dwt;2010;Live;Stefanou family;Greece;;;Bright Navigation Incorporated;Greece;;;Vitali Shipping SA;Liberia;;;Neptune Tradebulk Incorporated;Greece;;;Neptune Tradebulk Incorporated;Greece;;;-;-;;;225.00;19.60;19.60;0.00;
Mont Blanc I;;9561930;Panama;product tanker;Panamax (LR 1), 45'-80'dwt;2012;Live;Sea Trade Marine Holding Group SA;Panama;;;Silk Searoad Maritime SA;Panama;;;Levante Shipping Ventures S.A.;Panama;;;International Tanker Management (ITM) Limited;United Arab Emirates;;;International Tanker Management (ITM) Limited;United Arab Emirates;;;Maersk Tankers MR K/S;Denmark;;;181.54;18.70;12.17;6.53;
Shaman Wisdom;;9563407;Marshall Islands;bulk carrier;Handymax, 35'-50'dwt;2010;Live;Beyaz Denizcilik Limited Sirketi;Turkiye;;;Beyaz Denizcilik Limited Sirketi;Turkiye;;;Wisdom Sea Service Limited;Marshall Islands;;;Beyaz Denizcilik Limited Sirketi;Turkiye;;;Beyaz Denizcilik Limited Sirketi;Turkiye;;;-;-;;;179.90;15.00;10.00;5.00;
West Elara;;8769949;Norway;drill platform;Offshore;2011;Live;Seadrill Limited;United Kingdom;;;North Atlantic Management AS;Norway;;;North Atlantic Elara Limited;Bermuda;;;Seadrill Americas Incorporated;United States of America;;;Seadrill Americas Incorporated;United States of America;;;Conocophillips Norway;-;;;88.60;12.00;8.00;4.00;
Rowan Norway;;8770077;Marshall Islands;drill platform;Offshore;2011;Live;Valaris Limited;Bermuda;;;Valaris Limited;Bermuda;;;Rowan Rigs S.a.r.l.;Luxembourg;;;ENSCO International Incorporated;United States of America;;;ENSCO International Incorporated;United States of America;;;ConocoPhillips;United States of America;;;80.47;10.67;7.32;3.35;
N- Sea Pathfinder;;9545663;Netherlands;diving support;Offshore;2010;Live;Hanzevast Capital N.V.;Netherlands;;;Hanzevast Shipping B.V.;Netherlands;;;General Partner ms Hanze Pathfinder B.V.;Netherlands;;;-;-;;;-;-;;;-;-;;;61.87;5.50;4.65;0.85;
Agath;;9537642;Cyprus;Combined chemical and oil tanker;5'-10'dwt;2020;Live;Unibaltic sp. z.o.o.;Poland;;;Unibaltic Shipping Limited;Cyprus;;;Bluether Shipping Company Limited;Cyprus;;;Unibaltic Shipping Limited;Cyprus;;;-;-;;;-;-;;;121.60;8.00;6.40;1.60;
Havila Heroy;;9455832;Norway;supply;Offshore;2009;Live;Havila Holding AS;Norway;;;Havila Shipping ASA;Norway;;;Havila Ships AS;Norway;;;Havila Shipping ASA;Norway;;;Havila Shipping ASA;Norway;;;-;-;;;80.40;7.70;6.46;1.25;
MIA Maria;;9518218;Cyprus;general cargo with container capacity;-5'dwt;2012;Live;UAB Juru Agentura 'Forsa';Republic of Lithuania;;;UAB Juru Agentura 'Forsa';Republic of Lithuania;;;Irving Management Limited;Cyprus;;;UAB Juru Agentura 'Forsa';Republic of Lithuania;;;UAB Juru Agentura 'Forsa';Republic of Lithuania;;;-;-;;;88.60;7.00;5.42;1.58;
Eems River;;9528524;Netherlands;general cargo with container capacity;-5'dwt;2012;Live;Redereij Chris Kornet en Zonen B.V.;Netherlands;;;Redereij Chris Kornet en Zonen B.V.;Netherlands;;;RIVER BV;Netherlands;;;Eems Werken B.V.;Netherlands;;;Eems Werken B.V.;Netherlands;;;Eems Werken B.V.;Netherlands;;;89.92;8.00;5.30;2.70;
Eems Solar;;9559614;Netherlands;general cargo;-5'dwt;2010;Live;Rederij Chr. Kornet & Zonen BV and Amasus Shipping BV;Netherlands;;;Eems Werken B.V.;Netherlands;;;Solar B.V.;Netherlands;;;Eems Werken B.V.;Netherlands;;;Eems Werken B.V.;Netherlands;;;Peak Shipping AS;Norway;;;99.23;5.85;4.56;1.29;
Eems Servant;;9559602;Netherlands;general cargo;-5'dwt;2010;Live;Rederij Chr. Kornet & Zonen BV and Amasus Shipping BV;Netherlands;;;Eems Werken B.V.;Netherlands;;;Servant B.V.;Netherlands;;;Eems Werken B.V.;Netherlands;;;Eems Werken B.V.;Netherlands;;;-;-;;;99.23;5.86;4.56;1.30;
VOS Hades;;9552264;U.K.;standby safety vessel;Offshore;2009;Live;Vroon Group B.V.;Netherlands;;;Vroon Offshore Services B.V.;Netherlands;;;Nomis Offshore Limited;United Kingdom;;;Vroon Offshore Services B.V.;Netherlands;;;Vroon Offshore Services B.V.;Netherlands;;;-;-;;;59.25;6.10;4.95;1.15;
Wilson Duisburg;;9557410;Barbados;general cargo;-5'dwt;2017;Live;Caiano AS;Norway;;;Wilson ASA;Norway;;;Wilson Shipowning AS;Norway;;;Wilson Ship Management AS;Norway;;;Wilson Ship Management AS;Norway;;;-;-;;;87.91;5.80;5.80;0.00;
Wilson Rotterdam;;9557381;Barbados;general cargo;-5'dwt;2017;Live;Caiano AS;Norway;;;Wilson ASA;Norway;;;Wilson Shipowning AS;Norway;;;Wilson Ship Management AS;Norway;;;Wilson Ship Management AS;Norway;;;-;-;;;87.91;5.80;4.10;1.70;
Putford Aries;;7502966;U.K.;supply;Offshore;1977;Live;North Star Holdco Limited;United Kingdom;;;Boston Putford Offshore Safety Limited;United Kingdom;;;Boston Putford Offshore Safety Limited;United Kingdom;;;Boston Putford Offshore Safety Limited;United Kingdom;;;-;-;;;-;-;;;66.93;5.82;4.75;1.07;
Antonie;;-;Netherlands;general cargo;Unknown size;2023;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;135.00;-;3.20;-;
Zilvermeeuw 2;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;38.00;-;1.20;-;
Pieter Kees;;9219733;Netherlands;fishing (general);Fishing;2000;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;53.00;-;-;-;
Lubbert Senior;;8432663;Netherlands;fishing (general);Fishing;1988;Live;Unknown Owners;-;;;Unknown Owners;-;;;P Boerdijk en Zonen;Netherlands;;;Unknown Owners;-;;;-;-;;;-;-;;;20.00;-;-;-;
Bochem Mumbai;;9565637;Hong Kong, S.A.R., China;Combined chemical and oil tanker;20'+ dwt;2010;Live;Watanabe family group of companies;Japan;;;Eifuku Kaiun YK;Japan;;;Anchor Trans Incorporated;Panama;;;Fleet Management Limited;Hong Kong, S.A.R., China;;;Fleet Management Limited;Hong Kong, S.A.R., China;;;Belgische Scheepvaartmaatschappij-Compagnie Maritime Belge (CMB NV);Belgium;;;170.17;16.30;11.37;4.93;
KG 9 Pieternella;;8516940;Netherlands;fishing (general);Fishing;1985;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;23.00;-;2.90;-;
Baukje Elisabeth;;9219745;Netherlands;fishing (general);Fishing;2000;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;-;-;-;-;
Tobber;;8431621;Netherlands;fishing (general);Fishing;1980;Live;Zeevisserijbedrijf N Hoebeke & Zonen B.V.;Netherlands;;;Zeevisserijbedrijf N Hoebeke & Zonen B.V.;Netherlands;;;Zeevisserijbedrijf N Hoebeke & Zonen B.V.;Netherlands;;;Zeevisserijbedrijf N Hoebeke & Zonen B.V.;Netherlands;;;-;-;;;-;-;;;24.00;-;2.40;-;
Gideon;;6509242;Netherlands;fishing (general);Fishing;1964;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;22.00;-;-;-;
CORNELIS-NAN;;8431968;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;-;-;;;-;-;;;-;-;;;-;-;;;19.00;-;-;-;
Uk 146 Albert;;8432534;Netherlands;fishing (general);Fishing;1979;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;-;-;-;-;
Wr98 Else Jeannette;;8431944;Netherlands;fishing (general);Fishing;1960;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;68.00;-;-;-;
Wr80 Simon Albert;;8432429;Netherlands;fishing (general);Fishing;1988;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;20.00;-;-;-;
Lady Christine;;1010698;Cayman Islands;yacht;Yacht;2010;Live;Banffshire Yacht Limited;Isle of Man;;;Banffshire Yacht Limited;Isle of Man;;;Banffshire Yacht Limited;Isle of Man;;;Banffshire Yacht Limited;Isle of Man;;;-;-;;;-;-;;;68.00;6.25;6.25;0.00;
ADRIANNE OD3;;8008371;Netherlands;fishing (general);Fishing;1981;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;24.00;-;-;-;
AMICE;;-;Netherlands;barge;Miscellaneous;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;135.00;-;-;-;
Martens 4;;8532360;Netherlands;Tanker (unspecified);Products, -5'dwt;1993;Live;Unknown Owners;-;;;Unknown Owners;-;;;Transport Schepen en Reiniging BV (TSR);Netherlands;;;Unknown Owners;-;;;-;-;;;-;-;;;81.61;-;1.40;-;
Jacoba;;8432699;Netherlands;tug;Tug;1988;Live;P.T. Nelly Diwi Putri;Indonesia;;;P.T. Nelly Diwi Putri;Indonesia;;;P.T. Nelly Diwi Putri;Indonesia;;;P.T. Nelly Diwi Putri;Indonesia;;;-;-;;;-;-;;;19.00;-;2.50;-;
Jenny D;;9570905;U.K.;maintenance;Offshore;2009;Live;Maritime Craft Services (Clyde) Limited;United Kingdom;;;Maritime Craft Services (Clyde) Limited;United Kingdom;;;Maritime Craft Services (Clyde) Limited;United Kingdom;;;Maritime Craft Services (Clyde) Limited;United Kingdom;;;Maritime Craft Services (Clyde) Limited;United Kingdom;;;-;-;;;-;3.00;2.04;0.96;
UK 27 Soli Deo Glori;;8008319;Netherlands;fishing (general);Fishing;1981;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;24.00;-;-;-;
Caroline A.;;9570565;Italy;Combined chemical and oil tanker;-5'dwt;2011;Live;Amoretti Armatori Group;Italy;;;M.E. Marittima Emiliana S.p.A.;Italy;;;M.E. Marittima Emiliana S.p.A.;Italy;;;M.E. Marittima Emiliana S.p.A.;Italy;;;M.E. Marittima Emiliana S.p.A.;Italy;;;-;-;;;95.90;7.20;5.80;1.65;
GEERTRUIDA;;8432730;Netherlands;fishing (general);Fishing;1973;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;-;-;-;-;
Aquinis;;-;U.K.;fishing (general);Fishing;1992;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;-;6.60;2.46;4.14;
Ebonnie;;-;U.K.;fishing (general);Fishing;2009;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;-;-;-;-;
North Carolina;;8337370;Netherlands;Tanker (unspecified);Products, -5'dwt;2009;Live;Stichting Administratiekantoor Gebroeders van de Wijgaart;Netherlands;;;Wijgaart Shipping BV;Netherlands;;;Wijgaart Shipping BV;Netherlands;;;Wijgaart Shipping BV;Netherlands;;;-;-;;;-;-;;;125.00;5.23;5.23;0.00;
Windcat 20;;-;U.K.;support;Offshore;2009;Live;Belgische Scheepvaartmaatschappij-Compagnie Maritime Belge (CMB NV);Belgium;;;Windcat Workboats International BV;Netherlands;;;Windcat Workboats International BV;Netherlands;;;Windcat Workboats B.V.;Netherlands;;;Windcat Workboats B.V.;Netherlands;;;CMB.Tech NV;Belgium;;;-;-;-;-;
Vijzelgracht;;-;Netherlands;bulk cement carrier;Unknown size;1963;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;-;-;-;-;
Wr274 Dirk Senior;;8505654;Netherlands;fishing (general);Fishing;1985;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;25.00;-;4.00;-;
Rony;;8431683;Netherlands;fishing (general);Fishing;2008;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;-;-;-;-;
Star Ah Buchan;;9530864;U.K.;trawler (All types);Fishing;2010;Live;Caley Fisheries Limited;United Kingdom;;;Caley Fisheries Limited;United Kingdom;;;Excel BF110 LLP;United Kingdom;;;Caley Fisheries Limited;United Kingdom;;;-;-;;;-;-;;;18.95;-;-;-;
Esvagt Capri;;9536870;Denmark (Int. Register);standby safety vessel;Offshore;2010;Live;Esvagt A/S;Denmark;;;Esvagt A/S;Denmark;;;Esvagt A/S;Denmark;;;Esvagt A/S;Denmark;;;-;-;;;-;-;;;45.80;6.20;4.60;1.60;
P.S. Palios;;9573103;Marshall Islands;bulk carrier;Capesize, 100'-200'dwt;2013;Live;Diana Shipping Incorporated;Greece;;;Diana Shipping Services S.A.;Greece;;;Pulap Shipping Company Incorporated;Marshall Islands;;;Diana Shipping Services S.A.;Greece;;;Diana Shipping Services S.A.;Greece;;;-;-;;;291.97;24.70;18.22;6.48;
Sea Dog;;8026000;U.K.;general cargo;-5'dwt;1983;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;20.02;-;-;-;
Fulmar Fr176;;8410110;U.K.;trawler (All types);Fishing;1985;Live;Caley Fisheries Limited;United Kingdom;;;Caley Fisheries Limited;United Kingdom;;;Caley Fisheries Limited;United Kingdom;;;Caley Fisheries Limited;United Kingdom;;;-;-;;;-;-;;;25.91;3.92;-;-;
Swiss Crystal;;-;Switzerland;Passenger Vessel (unspecified);Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;102.00;-;1.50;-;
Boa Brage;;9551894;Norway;fire fighting tug;Tug;2010;Live;Taubatkompaniet A/S;Norway;;;Boa Shipping AS;Norway;;;Boa Tugs AS;Norway;;;Boa Offshore AS;Norway;;;-;-;;;-;-;;;32.00;5.36;4.19;1.17;
Rikke B;;9574315;Cyprus;general cargo;-5'dwt;2012;Live;Conmar Shipping GmbH & Company KG;Germany;;;Ocean Star Shipping GmbH & Company;Germany;;;Schifffahrtsgesellschaft Tom B mbH & Company KG;Germany;;;Ocean Star Shipping GmbH & Company;Germany;;;Ocean Star Shipping GmbH & Company;Germany;;;Echoship Holding ApS;Denmark;;;88.30;7.00;5.40;1.60;
Zhong Yuan;;9576272;Panama;bulk carrier;Panamax, 60'-100'dwt;2011;Live;Peng Shen (60%) , Zhang Zhi (20%) & Xu Zhi Qiang (20%);People's Republic of China;;;Dia Yuan International Shipping Company Limited;Hong Kong, S.A.R., China;;;Zhong Yuan Limited;Marshall Islands;;;Dia Yuan International Shipping Company Limited;Hong Kong, S.A.R., China;;;Dia Yuan International Shipping Company Limited;Hong Kong, S.A.R., China;;;-;-;;;229.06;20.05;12.20;7.85;
Darya Maya;;9575149;Marshall Islands;bulk carrier;Panamax, 60'-100'dwt;2012;Live;Chellaram family;Hong Kong, S.A.R., China;;;KC Maritime Hong Kong Limited;Hong Kong, S.A.R., China;;;Indira Shipping Limited;Marshall Islands;;;Anglo-Eastern Ship Management Limited;Hong Kong, S.A.R., China;;;Anglo-Eastern Ship Management Limited;Hong Kong, S.A.R., China;;;Ultrabulk A/S (Ultrabulk MPP);Denmark;;;199.99;18.50;13.30;5.20;
Northernlight;;9577123;Malta;product tanker;Panamax (LR 1), 45'-80'dwt;2012;Live;Naftomar Shipping and Trading Company Limited Incorporated;Greece;;;Naftomar Shipping and Trading Company Limited Incorporated;Greece;;;Boreas Shipping and Trading Company S.A;Marshall Islands;;;Naftomar Tankers Limited;Greece;;;Naftomar Tankers Limited;Greece;;;-;-;;;228.00;20.90;14.50;6.40;
Catalan Sea;;9577044;Liberia;product tanker;Aframax (LR 2), 80'-120'dwt;2012;Live;Quantum Pacific Group;Monaco;;;Eastern Pacific Shipping Private Limited;Republic of Singapore;;;Tonzip Maritime (Singapore) Private Limited;Liberia;;;Eastern Pacific Shipping Private Limited;Republic of Singapore;;;Eastern Pacific Shipping Private Limited;Republic of Singapore;;;-;-;;;249.90;21.50;15.12;6.38;
Ursula;;8798603;Germany;Tanker (unspecified);Unknown size;2009;Live;GEFO Gesellschaft fur Oeltransporte mbH;Germany;;;GEFO Gesellschaft fur Oeltransporte mbH;Germany;;;GEFO Gesellschaft fur Oeltransporte mbH;Germany;;;GEFO Gesellschaft fur Oeltransporte mbH;Germany;;;-;-;;;-;-;;;99.95;1.70;-;-;
Somtrans XI;;-;Belgium;Tanker (unspecified);Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;135.00;-;3.70;-;
Voyager;;9562324;Netherlands;chemical tanker;Unknown size;2009;Live;Unknown Owners;-;;;Unknown Owners;-;;;MTS Voyager II CV;Netherlands;;;Unknown Owners;-;;;-;-;;;-;-;;;109.99;4.78;3.10;1.68;
Hovagtral;;9239044;Norway;fishing (general);Fishing;2000;Live;Hovagtral AS;Norway;;;Hovagtral AS;Norway;;;Hovagtral AS;Norway;;;Hovagtral AS;Norway;;;-;-;;;-;-;;;23.90;3.40;-;-;
Nancy;;9546277;Switzerland;chemical tanker;-5'dwt;2010;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;124.90;-;3.20;-;
Le Coelacanthe;;8229195;France (Int. Register);trawler (All types);Fishing;1996;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;20.00;-;-;-;
Nova Spes;;8985153;Netherlands;fishing (general);Fishing;1984;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;40.00;-;2.20;-;
Bellona;;9455313;Luxembourg;chemical tanker;-5'dwt;2009;Live;Bamalite S.A.;Luxembourg;;;Bamalite S.A.;Luxembourg;;;Bamalite S.A.;Luxembourg;;;Bamalite S.A.;Luxembourg;;;-;-;;;-;-;;;135.00;5.70;3.55;2.15;
Zijpe;;-;Netherlands;barge;Miscellaneous;1963;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;71.00;-;2.60;-;
Alfobert;;8136207;Netherlands;fishing (general);Fishing;1980;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;34.00;-;1.00;-;
Philos;;9572290;Netherlands;chemical tanker;Unknown size;2010;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;110.00;-;5.32;-;
Jubilee Quest;;9564554;U.K.;trawler (All types);Fishing;2009;Live;Olbek Fishing Company Limited;United Kingdom;;;Olbek Fishing Company Limited;United Kingdom;;;Olbek Fishing Company Limited;United Kingdom;;;Olbek Fishing Company Limited;United Kingdom;;;-;-;;;-;-;;;21.50;4.15;-;-;
VB Bever;;9492256;Netherlands;tug;Tug;2010;Live;Boluda Corporacion Maritima SL;Spain;;;Sleepdienst Boluda B.V.;Netherlands;;;Bever Tug B.V.;Netherlands;;;Sleepdienst Boluda B.V.;Netherlands;;;Sleepdienst Boluda B.V.;Netherlands;;;Dutch Marine Contractors B.V.;Netherlands;;;36.58;5.25;3.71;1.54;
Anna Trijntje;;8911982;Netherlands;trawler (All types);Fishing;1990;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;35.00;-;-;-;
Jack Petchey;;9533220;U.K.;Passenger Vessel (unspecified);-299gt;2010;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;24.00;-;2.85;-;
AMPHIRO;;8665105;Netherlands;chemical tanker;-5'dwt;2010;Live;GCM Deen Shipping Holding BV;Netherlands;;;GCM Deen Shipping Holding BV;Netherlands;;;Apollo Shipping BV;Netherlands;;;GCM Deen Shipping Holding BV;Netherlands;;;-;-;;;-;-;;;109.99;5.32;5.32;0.00;
SYNTHESE 4;;8670667;Netherlands;chemical tanker;-5'dwt;2000;Live;Wijnhoff & Van Gulpen & Larsen B.V. (Wijgula BV);Netherlands;;;Wijnhoff & Van Gulpen & Larsen B.V. (Wijgula BV);Netherlands;;;Wijnhoff & Van Gulpen & Larsen B.V. (Wijgula BV);Netherlands;;;Wijnhoff & Van Gulpen & Larsen B.V. (Wijgula BV);Netherlands;;;-;-;;;-;-;;;94.88;-;3.00;-;
HERMINE BASTIEN STEEVE;;8542092;France;fishing (general);Fishing;1988;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;-;-;-;-;
AMARONE;;8681771;Netherlands;chemical tanker;5'-10'dwt;2010;Live;Unknown Owners;-;;;Unknown Owners;-;;;Scheepvaartbedrijf Amarone BV;Netherlands;;;Swintrans Bevrachting BV;Netherlands;;;Swintrans Bevrachting BV;Netherlands;;;-;-;;;135.00;-;1.50;-;
MA BAKER;;-;Netherlands;crude oil tanker;Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;110.00;-;2.00;-;
Hanna;;9388481;Netherlands;general cargo;-5'dwt;2006;Live;Eigen Koers B.V;Netherlands;;;Eigen Koers B.V;Netherlands;;;Bugro B.V;Netherlands;;;Eigen Koers B.V;Netherlands;;;-;-;;;-;-;;;110.00;3.60;-;-;
Antoinette;;-;Netherlands;Naval Vessel;Miscellaneous;2009;Live;Koninklijke Nederlandse Reddingmaatschappij;Netherlands;;;Koninklijke Nederlandse Reddingmaatschappij;Netherlands;;;Koninklijke Nederlandse Reddingmaatschappij;Netherlands;;;Koninklijke Nederlandse Reddingmaatschappij;Netherlands;;;-;-;;;-;-;;;18.00;1.57;1.00;0.57;
SBH2;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;2010;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;27.00;-;0.20;-;
EXPERTA;;9518270;Netherlands;chemical tanker;Unknown size;2010;Live;-;-;;;-;-;;;MST Experta BV;Netherlands;;;Knipping Marine Services BV (Delfia Inland Shipping);Netherlands;;;-;-;;;-;-;;;135.00;-;1.30;-;
Adriaan;;8809397;Netherlands;fishing (general);Fishing;1989;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;25.00;-;1.00;-;
Talara;;9569994;Marshall Islands;product tanker;Panamax (LR 1), 45'-80'dwt;2010;Live;Coronis Family Group of Companies;Greece;;;PrimeBulk Shipmanagement Limited;Greece;;;Pasha Finance Incorporated;Marshall Islands;;;Columbia Shipmanagement Limited;Cyprus;;;Columbia Shipmanagement Limited;Cyprus;;;-;-;;;228.60;20.80;14.49;6.14;
Fortuna;;-;Netherlands;general cargo;Unknown size;1972;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;63.00;2.00;1.10;0.90;
Velos Amber;;9571038;Marshall Islands;product tanker;Panamax (LR 1), 45'-80'dwt;2010;Live;Diamantidis family;Greece;;;Velos Tankers Limited;Greece;;;Movena Shipping Incorporated;Marshall Islands;;;Velos Tankers Limited;Greece;;;Velos Tankers Limited;Greece;;;-;-;;;228.00;20.80;14.57;6.27;
Attesa;;-;Netherlands;general cargo;Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;110.00;-;-;-;
Catharina 5;;-;Netherlands;tug;Tug;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;17.00;-;2.50;-;
Arie Visser;;-;Netherlands;patrol ship;Other Service;2000;Live;Koninklijke Nederlandse Reddingmaatschappij;Netherlands;;;Koninklijke Nederlandse Reddingmaatschappij;Netherlands;;;Koninklijke Nederlandse Reddingmaatschappij;Netherlands;;;Koninklijke Nederlandse Reddingmaatschappij;Netherlands;;;-;-;;;-;-;;;18.00;1.57;1.10;0.47;
Maranatha II;;9199878;France;fishing (general);Fishing;1998;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;22.00;-;-;-;
Terra;;7916961;Netherlands;general cargo;-5'dwt;1981;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;110.00;-;-;-;
Glorieuse Sainte Rita;;9228679;France;fishing (general);Fishing;2001;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;44.00;-;4.50;-;
Luctor;;8510697;Netherlands;research;Other Service;1985;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;34.00;-;-;-;
Cornelis Johannus;;8811168;Netherlands;fishing (general);Fishing;1989;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;37.00;-;-;-;
Klasina J.;;9152650;Netherlands;trawler (All types);Fishing;1997;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;42.00;-;5.00;-;
Thortevald;;8544325;France;fishing (general);Fishing;1991;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;17.00;-;-;-;
De Hoop 4;;-;Netherlands;Tanker (unspecified);Unknown size;1957;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;35.00;-;2.00;-;
