Name;Vessel Sanction Indicators;IMO;Flag;LLI Vessel Type;Vessel Type and Size;Built;Status;Beneficial Owner;Beneficial Owner Country/Region;Beneficial Owner Sanction Indicators;Beneficial Owner - Shareholders & UBO Sanctions;Commercial Operator;Commercial Operator Country/Region;Commercial Operator Sanction Indicators;Commercial Operator - Shareholders & UBO Sanctions;Registered Owner;Registered Owner Country/Region;Registered Owner Sanction Indicators;Registered Owner - Shareholders & UBO Sanctions;Technical Manager;Technical Manager Country/Region;Technical Manager Sanction Indicators;Technical Manager - Shareholders & UBO Sanctions;ISM Manager;ISM Manager Country/Region;ISM Manager Sanction Indicators;ISM Manager - Shareholders & UBO Sanctions;Third Party Operator;Third Party Operator Country/Region;Third Party Operator Sanction Indicators;Third Party Operator - Shareholders & UBO Sanctions;Length Overall (m);Depth (m);Maximum Draught (m);Freeboard (m);
GT Delphin;;9401245;Antigua & Barbuda;general cargo with container capacity;-5'dwt;2007;Live;GTS Shipping SIA;Republic of Latvia;;;GTS Shipping SIA;Republic of Latvia;;;GTS Dolfiin Shipping Limited;Antigua & Barbuda;;;SIA Aquarius Shipmanagement Company LLC;Republic of Latvia;;;SIA Aquarius Shipmanagement Company LLC;Republic of Latvia;;;Green Transport Solutions Limited;Malta;;;88.60;7.00;5.41;1.60;
Woltera;;-;Germany;salvage;Other Service;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;10.00;-;0.90;-;
Seaway Strashnov;;9452701;Cyprus;crane ship;Other Service;2011;Live;Seaway Heavy Lifting Engineering B.V.;Netherlands;;;Seaway Heavy Lifting Engineering B.V.;Netherlands;;;Seaway 7 Vessels B.V.;Netherlands;;;Seaway 7 Offshore Contractors BV;Netherlands;;;Seaway 7 Offshore Contractors BV;Netherlands;;;-;-;;;183.00;18.20;13.86;4.34;
Brecqhou Warrior;;-;U.K.;Vessel Type (unspecified);Miscellaneous;2008;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;-;-;-;-;
Borkum;;8993875;Germany;pilot ship;Other Service;2004;Live;Government of The Federal Republic of Germany;Germany;;;Bundesminiter fur Verkehr Bau und Stadtentwicklung Wasser und Schiffahrtsdirektion Nordwest;Germany;;;Bundesminiter fur Verkehr Bau und Stadtentwicklung Wasser und Schiffahrtsdirektion Nordwest;Germany;;;Lotsbetriebsverein e.V. Aussenstelle Emden;Germany;;;Lotsbetriebsverein e.V. Aussenstelle Emden;Germany;;;-;-;;;25.65;5.90;2.74;3.16;
Regulus;;-;Netherlands;research;Other Service;1976;Live;Rijkswaterstaat Meetdienst Directie Noord Nederland;Netherlands;;;Rijkswaterstaat Meetdienst Directie Noord Nederland;Netherlands;;;Rijkswaterstaat Meetdienst Directie Noord Nederland;Netherlands;;;Rijkswaterstaat Meetdienst Directie Noord Nederland;Netherlands;;;Rijkswaterstaat Rijksrederij;Netherlands;;;-;-;;;24.25;1.90;1.00;0.90;
Green Warrior;;9514169;Liberia;crude oil tanker;Aframax (LR 2), 80'-120'dwt;2011;Live;Spiros Polemis;Greece;;;Polembros Shipping Limited;Greece;;;Deepblue Shipping Corporation;Liberia;;;Polembros Shipping Limited;Greece;;;Polembros Shipping Limited;Greece;;;-;-;;;228.60;21.50;14.28;7.22;
Yasa Kaptan Erbil;;9514341;Turkiye;bulk carrier;Supramax, 50'-60'dwt;2010;Live;Yasa Holding SA;Turkiye;;;Yasa Holding SA;Turkiye;;;Yasa Holding SA;Turkiye;;;Ya Sa Shipping Industry & Trading SA (Ya-Sa Denizcilik Sanayi ve Ticaret A.S.);Turkiye;;;Ya Sa Shipping Industry & Trading SA (Ya-Sa Denizcilik Sanayi ve Ticaret A.S.);Turkiye;;;-;-;;;189.99;18.10;12.72;5.38;
Azolla;;-;Netherlands;general cargo;Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;135.00;-;4.80;-;
Seefalke;;-;Germany;support;Offshore;1987;Live;Niedersachsisches Hafenamt Norden;Germany;;;Niedersachsisches Hafenamt Norden;Germany;;;Land Niedersachsen-Hafen und Schiffahrtsverwaltung;Germany;;;Niedersachsen Ports GmbH & Company KG;Germany;;;-;-;;;-;-;;;11.77;1.60;-;-;
Fugro Searcher;;9504011;Bahamas;research;Other Service;2010;Live;Fugro NV;Netherlands;;;Fugro Marine Services B.V.;Netherlands;;;Taranaki Shipping BV;Netherlands;;;Fugro Marine Services B.V.;Netherlands;;;Fugro Marine Services B.V.;Netherlands;;;-;-;;;65.65;6.70;4.20;2.50;
Combi Dock I;;9400473;Portugal;general cargo with container capacity;10'-20'dwt;2008;Live;Harren & Partner Group;Germany;;;SAL Heavy Lift GmbH & Company KG;Germany;;;74 Schifffahrtsgesellschaft UG (haftungsbeschrankt) & Co KG ms 'Merkur';Germany;;;HG Dry GmbH & Company KG;Germany;;;HG Dry GmbH & Company KG;Germany;;;RollDock N.V.;Netherlands;;;169.40;10.00;6.60;3.40;
Tinza;;7424762;Tanzania;supply;Offshore;1974;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;58.00;6.00;4.30;1.70;
Titan Vision;;9468449;Cyprus;Combined LNG and LPG Gas Carrier;LNG, -100'cbm;2011;Live;Titan LNG B.V.;Netherlands;;;Titan LNG B.V.;Netherlands;;;Titan Shipping BV;Netherlands;;;OSM Tanker Management Private Limited;Republic of Singapore;;;OSM Tanker Management Private Limited;Republic of Singapore;;;BW Epic Kosan Maritime Private Limited;Republic of Singapore;;;152.17;11.50;8.30;3.20;
Havenschap 1;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;-;-;;;-;-;;;Groningen Seaports;Netherlands;;;-;-;;;-;-;;;-;-;;;12.00;-;1.40;-;
Halit Bey;;9511375;Barbados;general cargo;10'-20'dwt;2008;Live;Naiboglu Denizcilik Ticaret Kollektif Sirketi;Turkiye;;;Ranmarine Denizcilik Ticaret Limited Sirketi;Turkiye;;;Halmar Shipping Limited;Marshall Islands;;;Ranmarine Denizcilik Ticaret Limited Sirketi;Turkiye;;;Ranmarine Denizcilik Ticaret Limited Sirketi;Turkiye;;;-;-;;;104.83;13.80;9.75;4.05;
Nab;;8995196;U.K.;hopper barge;Miscellaneous;1979;Live;Jenkins Marine Limited;United Kingdom;;;Jenkins Marine Limited;United Kingdom;;;Jenkins Marine Limited;United Kingdom;;;Jenkins Marine Limited;United Kingdom;;;-;-;;;-;-;;;-;-;-;-;
Wilhelmina;;9405590;Netherlands;fishing (general);Fishing;2006;Live;Zeevisserijbedrij T de Boer en Zonen BV;Netherlands;;;Zeevisserijbedrij T de Boer en Zonen BV;Netherlands;;;Zeevisserijbedrij T de Boer en Zonen BV;Netherlands;;;Zeevisserijbedrij T de Boer en Zonen BV;Netherlands;;;-;-;;;-;-;;;28.30;4.10;3.80;0.30;
VB Hudson;;9402421;Netherlands;tug;Tug;2008;Live;Boluda Corporacion Maritima SL;Spain;;;Boluda Towage Europe BV;Netherlands;;;VB Hudson BV;Netherlands;;;Boluda Towage Rotterdam BV;Netherlands;;;Boluda Towage Rotterdam BV;Netherlands;;;-;-;;;28.67;4.60;3.61;0.99;
Stavfjord;;9401544;Norway (Int. Register);Combined chemical and oil tanker;10'-20'dwt;2009;Live;O.H. Meling & Company AS;Norway;;;O.H. Meling & Company AS;Norway;;;O.H Meling Tankers KS;Norway;;;OSM Ship Management AS;Norway;;;OSM Ship Management AS;Norway;;;Furetank Rederi A/B;Sweden;;;144.21;12.40;8.89;3.51;
La Fregate III;;9417593;France;trawler (All types);Fishing;2007;Live;Acanor;France;;;Acanor;France;;;Acanor;France;;;Acanor;France;;;Co-operative Maritime Etaploise Organisation de Producteurs  SA;France;;;-;-;;;22.50;3.60;3.40;0.20;
