HOLGER G.
255916493
7
89
79
10
7
6
51.33537,3.81458,1773142441,,0.5,161,,11.4,4.5,229
51.33519,3.81454,1773142381,,0.6,160,,11.4,4.5,229
51.335,3.81453,1773142310,,0.5,162,,11.4,4.5,229
51.33482,3.81443,1773142181,,0.4,182,,10.9,3.7,236
51.33501,3.81448,1773142101,,0.3,197,,10.9,3.7,236
51.33516,3.81431,1773141981,,0.3,193,,10.9,3.7,236
51.33518,3.81401,1773141841,,0.3,190,,10.9,3.7,236
51.33519,3.8137,1773141730,,0.4,177,,10.9,3.7,236
51.33538,3.81363,1773141591,,0.2,175,,10.5,2.8,243
51.33524,3.81342,1773141460,,0.3,180,,10.5,2.8,243
51.33537,3.81321,1773141380,,0.9,181,,10.5,2.8,243
51.33558,3.81312,1773141340,,1.4,180,,10.5,2.8,243
51.33597,3.81306,1773141291,,1.8,181,,10.5,2.8,243
51.33622,3.81304,1773141260,,1.9,181,,10.5,2.8,243
51.33649,3.81302,1773141231,,1.9,182,,10.5,2.8,243
51.33686,3.81293,1773141190,,2,178,,10.5,2.8,243
51.33703,3.81285,1773141171,,2.2,174,,10.5,2.8,243
51.33725,3.81274,1773141150,,2.6,170,,10.5,2.8,243
51.3375,3.81266,1773141129,,3,169,,10.5,2.8,243
51.33777,3.81257,1773141111,,3.2,169,,10.5,2.8,243
51.33808,3.81251,1773141090,,3.3,171,,9.8,4,208
51.3387,3.81238,1773141051,,3.6,172,,9.8,4,208
51.33904,3.81229,1773141030,,3.7,172,,9.8,4,208
51.33971,3.81205,1773140991,,4,169,,9.8,4,208
51.33991,3.81197,1773140980,,4.1,169,,9.8,4,208
51.34027,3.81181,1773140961,,4.2,166,,9.8,4,208
51.34048,3.81172,1773140949,,4.3,165,,9.8,4,208
51.34126,3.81127,1773140910,,4.7,160,,9.8,4,208
51.34144,3.81115,1773140901,,4.8,159,,9.8,4,208
51.34189,3.8109,1773140880,,5,162.5,,9.8,4,208
51.34209,3.8108,1773140871,,5.1,163.2,,9.8,4,208
51.34235,3.81067,1773140860,,5.2,165.1,,9.8,4,208
51.34258,3.81057,1773140850,,5.4,167.7,,9.8,4,208
51.34279,3.81049,1773140841,,5.5,168.7,,9.8,4,208
51.34307,3.8104,1773140829,,5.7,170.3,,9.8,4,208
51.34357,3.81026,1773140811,,6,172.5,,9.8,4,208
51.34397,3.81018,1773140797,,6.1,166.2,,9.8,4,208
51.34416,3.81012,1773140790,,6.2,157.8,,9.8,4,208
51.35491,3.77728,1773140081,,7.8,116.3,,9.8,4.2,215
51.35509,3.7767,1773140070,,7.8,116.9,,9.8,4.2,215
51.35823,3.76342,1773139830,,8.1,109.4,,9.8,4.3,221
51.35848,3.76228,1773139810,,8.2,108.7,,9.8,4.3,221
51.36035,3.75548,1773139690,,8.4,115.5,,9.8,4.3,221
51.36052,3.75492,1773139680,,8.5,118.9,,9.8,4.3,221
51.36531,3.74269,1773139450,,8.4,125.1,,9.8,4.3,221
51.3655,3.74223,1773139441,,8.4,125,,9.8,4.3,221
51.36985,3.73403,1773139270,,8.5,130.9,,9.8,4.5,228
51.37009,3.73361,1773139261,,8.5,130.5,,9.8,4.5,228
51.37191,3.73017,1773139190,,8.5,130.5,,9.8,4.5,228
51.37216,3.72968,1773139181,,8.5,133.1,,9.8,4.5,228
51.37558,3.72447,1773139060,,8.4,137.6,,9.9,5,219
51.37584,3.7241,1773139051,,8.4,137.5,,9.9,5,219
51.37615,3.72362,1773139040,,8.4,139.8,,9.9,5,219
51.37651,3.72312,1773139028,,8.5,142.7,,9.9,5,219
51.37677,3.72283,1773139020,,8.5,142.4,,9.9,5,219
51.37705,3.72248,1773139011,,8.5,141.4,,9.9,5,219
51.37768,3.72167,1773138991,,8.5,141,,9.9,5,219
51.378,3.72124,1773138980,,8.4,140.9,,9.9,5,219
51.37827,3.72091,1773138971,,8.4,141.3,,9.9,5,219
51.37861,3.72048,1773138960,,8.4,140.9,,9.9,5,219
51.37889,3.72012,1773138951,,8.4,141.3,,9.9,5,219
51.39369,3.69964,1773138451,,8.5,138.7,,10,5.7,219
51.39402,3.69917,1773138440,,8.5,138.8,,10,5.7,219
51.40139,3.69059,1773138211,,8.7,145.2,,10,5.7,219
51.40172,3.69022,1773138201,,8.6,145.3,,10,5.7,219
51.40703,3.68548,1773138051,,8.7,151,,10.1,6.3,219
51.4106,3.68241,1773137950,,8.5,152.7,,10.1,6.3,219
51.41165,3.68154,1773137920,,8.5,151.4,,10.1,6.3,219
51.41268,3.68065,1773137890,,8.4,154,,10.1,6.3,219
51.41303,3.68037,1773137881,,8.4,154.8,,10.1,6.3,219
51.41336,3.68013,1773137871,,8.4,153.3,,10.1,6.3,219
51.41473,3.67883,1773137830,,8.4,147.7,,10.1,6.3,219
51.4151,3.67847,1773137819,,8.4,142.9,,10.1,6.3,219
51.41555,3.67788,1773137804,,8.4,138.7,,10.1,6.3,219
51.41572,3.67763,1773137798,,8.4,140.2,,10.1,6.3,219
51.41655,3.67659,1773137771,,8.4,142.6,,10.1,6.3,219
51.4168,3.67628,1773137763,,8.4,140.5,,10.1,6.3,219
51.41696,3.67609,1773137758,,8.4,138.2,,10.1,6.3,219
51.41736,3.67548,1773137743,,8.4,133.4,,10.1,6.3,219
51.41879,3.67313,1773137691,,8.3,135,,10.1,6.3,219
51.41988,3.6714,1773137651,,8.2,136.9,,10.1,6.3,219
51.42015,3.67099,1773137641,,8.2,137.4,,10.1,6.3,219
51.42046,3.67056,1773137630,,8.1,135.7,,10.1,6.3,219
51.42081,3.67001,1773137617,,8.1,130.6,,10.1,6.3,219
51.42096,3.66974,1773137610,,8.1,128.9,,10.1,6.3,219
51.42113,3.66941,1773137605,,8.1,129.7,,10.1,6.3,219
51.4216,3.66856,1773137586,,8.1,132.3,,10.1,6.3,219
51.4218,3.66821,1773137577,,8.1,129.8,,10.1,6.3,219
51.42314,3.66478,1773137510,,8.1,120.5,,10.1,6.3,219
51.42333,3.66427,1773137501,,8.1,117,,10.1,6.3,219
51.4236,3.66335,1773137484,,8.2,111.5,,10.1,7,219
51.42368,3.66301,1773137478,,8.1,113.1,,10.1,7,219
51.42377,3.66267,1773137471,,8.1,114.7,,10.1,7,219
51.42412,3.66152,1773137450,,8.1,116.2,,10.1,7,219
51.42429,3.661,1773137440,,8.1,113.6,,10.1,7,219
51.42481,3.65875,1773137400,,8.1,109.5,,10.1,7,219
51.42498,3.65789,1773137385,,8.1,104.6,,10.1,7,219
51.42518,3.65675,1773137365,,8,105.4,,10.1,7,219
51.42526,3.65634,1773137358,,8.1,101.9,,10.1,7,219
51.42145,3.62316,1773136820,,8.8,78.5,,8.4,7.8,213
51.42137,3.62252,1773136810,,8.7,78.8,,8.4,7.8,213
51.42119,3.62096,1773136786,,8.7,82.8,,8.4,7.8,213
51.42105,3.6193,1773136760,,8.6,79.1,,8.4,7.8,213
51.42065,3.61554,1773136700,,8.3,81.3,,8.4,7.8,213
51.42044,3.61312,1773136660,,8.1,83.7,,8.4,7.8,213
51.4204,3.61253,1773136650,,8,84.6,,8.4,7.8,213
51.42084,3.60261,1773136479,,8.6,95.2,,8.4,7.8,213
51.42088,3.60197,1773136470,,8.8,95.3,,8.4,7.8,213
51.42209,3.5905,1773136289,,8.5,101.5,,8.4,7.7,218
51.42216,3.58994,1773136281,,8.5,101.5,,8.4,7.7,218
51.42354,3.58327,1773136170,,8.2,109.9,,8.4,7.7,218
51.42364,3.58281,1773136161,,8.2,111.6,,8.4,7.7,218
51.42397,3.58164,1773136140,,8.2,117.8,,8.4,7.7,218
51.42458,3.57972,1773136104,,7.8,114.6,,8.4,7.7,218
51.42468,3.5794,1773136097,,7.7,115.6,,8.4,7.7,218
51.42624,3.57594,1773136023,,7.2,128.3,,8.4,7.7,218
51.42636,3.57569,1773136017,,7.1,129.3,,8.4,7.7,218
51.42662,3.5752,1773136004,,7.1,135.4,,8.4,7.7,218
51.42678,3.57493,1773135997,,7.2,140.4,,8.4,7.7,218
51.42698,3.57466,1773135989,,7.2,144.5,,8.4,7.7,218
51.42718,3.57444,1773135984,,7.1,144.1,,8.4,7.7,218
51.42757,3.57397,1773135967,,6.7,141.3,,8.4,7.7,218
51.42774,3.57375,1773135961,,6.8,144.2,,8.4,7.7,218
51.42789,3.57357,1773135955,,6.8,148.3,,8.4,7.7,218
51.42808,3.57338,1773135949,,7,152.8,,8.4,7.7,218
51.42852,3.57304,1773135932,,7.2,156.7,,8.4,7.7,218
